"Country","Year","LifeExp","Gini","GDP"
"Albania",2020,77.8241,29.4,14512.053775245
"Albania",2019,79.4669,30.1,14792.2618929217
"Albania",2018,79.2377,30.1,13696.8427457045
"Albania",2017,78.9003,33.1,12771.0037929102
"Albania",2016,78.6433,33.7,12078.8277189549
"Albania",2015,78.358,32.8,11662.0057774038
"Albania",2014,78.0291,34.6,11259.2559553602
"Albania",2012,78.0836,29,10526.2643721186
"Albania",2008,78.2484,30,8228.34226777512
"Albania",2005,76.4266,30.6,5865.30563672047
"Albania",2002,75.2987,31.7,4661.39281830022
"Albania",1996,74.1134,27,2979.8186518441
"Algeria",2011,74.3834,27.6,14639.8779436268
"Algeria",1995,67.6914,35.3,7746.71683861168
"Angola",2018,62.6219,51.3,7347.79993635052
"Angola",2008,55.2809,42.7,6651.37774105467
"Angola",2000,46.5005,51.9,3326.77991383311
"Argentina",2022,75.8061,40.7,29597.6938429264
"Argentina",2021,73.9485,42.4,26300.274261175
"Argentina",2020,75.8781,42.7,22393.3479575353
"Argentina",2019,76.8475,43.3,23516.8261980886
"Argentina",2018,76.7698,41.7,24410.3919063335
"Argentina",2017,76.5434,41.4,23385.0740904917
"Argentina",2016,76.105,42.3,20105.761359796
"Argentina",2014,76.2678,41.8,19487.4181748868
"Argentina",2013,75.8292,41.1,19928.989490167
"Argentina",2012,75.8024,41.4,19430.4178068112
"Argentina",2011,76.0998,42.7,19104.9909405228
"Argentina",2010,75.68,43.7,17847.6110371438
"Argentina",2009,75.5773,43.8,16182.0753478429
"Argentina",2008,75.4281,45,17276.7570884025
"Argentina",2007,74.7827,46.3,16455.1129799188
"Argentina",2006,75.2791,46.4,14843.5778656186
"Argentina",2005,75.2306,47.8,13464.8128469003
"Argentina",2004,74.8713,48.5,12117.6797424618
"Argentina",2003,74.3073,51,10933.3925490662
"Argentina",2002,74.3122,53.8,9953.46492878861
"Argentina",2001,74.1542,53.3,11117.754923304
"Argentina",2000,73.91,51,11499.9828002698
"Argentina",1999,73.6833,49.8,11463.853308121
"Argentina",1998,73.4121,50.7,11835.67698712
"Argentina",1997,73.4071,49.1,11403.4807923124
"Argentina",1996,73.0565,49.5,10495.8392453675
"Argentina",1995,72.8644,48.9,9890.92470883083
"Argentina",1994,72.7317,45.9,10103.0297413485
"Argentina",1993,72.3033,44.8,9472.44509946864
"Argentina",1992,72.0958,45.5,8667.85280353006
"Argentina",1991,72.0204,46.8,7960.97844042597
"Armenia",2022,74.6333,27.9,19161.370051419
"Armenia",2021,72.5524,27.9,15921.705281964
"Armenia",2020,68.8898,25.1,14706.3173043422
"Armenia",2019,75.1931,30,14975.7539538157
"Armenia",2018,74.9783,34.4,12877.4937543553
