"Country","Year","LifeExp","Gini","GDP","log_GDP"
"Albania",2018,79.2377,30.1,13696.8427457045,9.52492062873911
"Angola",2018,62.6219,51.3,7347.79993635052,8.90215621901151
"Argentina",2018,76.7698,41.7,24410.3919063335,10.1027642184131
"Armenia",2018,74.9783,34.4,12877.4937543553,9.46323639643518
"Australia",2018,83.2582,34.3,50183.6898127634,10.8234453487588
"Austria",2018,81.6859,30.8,56636.4953030539,10.9444088497415
"Belarus",2018,74.3344,25.2,20026.0306698699,9.90478823976912
"Belgium",2018,81.4805,27.2,52466.7330784599,10.8679345920867
"Benin",2018,59.7097,37.9,2965.30628143664,7.99473560506368
"Brazil",2018,75.6335,53.9,15463.7426396097,9.64625337819987
"Bulgaria",2018,74.9325,41.3,22977.7790501903,10.042282899656
"Burkina Faso",2018,59.9719,43,2073.3235382155,7.6369081727206
"CÃ´te d'Ivoire",2018,59.7946,37.2,4945.62520575915,8.50625866796773
"Canada",2018,81.9247,32.5,49982.5999118348,10.8194302220803
"Chad",2018,52.4467,37.5,1633.63788883194,7.39856464059879
"China",2018,77.709,38.5,16006.9131210004,9.68077597796905
"Colombia",2018,76.5791,50.4,15239.4049488277,9.63163978312583
"Costa Rica",2018,80.0896,48,21498.0350746836,9.97571681806408
"Croatia",2018,77.8654,29.7,29789.3121086757,10.3019049540905
"Cyprus",2018,81.5558,32.7,40925.5234375,10.6195091923225
"Czechia",2018,78.9612,25,41638.1831076598,10.6367728884354
"Denmark",2018,80.9909,28.2,57233.6231685615,10.954896822303
"Dominican Republic",2018,73.5553,43.7,18113.539179722,9.80441495860478
"Ecuador",2018,77.2484,45.4,12186.8847218273,9.40811562966884
"El Salvador",2018,71.3836,38.6,9203.76216310772,9.12736761022031
"Estonia",2018,78.3339,30.3,37120.9879761679,10.5219378022832
"Finland",2018,81.6265,27.3,49248.6775395868,10.8046377942516
"France",2018,82.5682,32.4,46381.0590629455,10.7446464450237
"Georgia",2018,73.9847,36.4,15021.9057577433,9.61726479861047
"Germany",2018,80.8747,31.9,56273.0405627015,10.937970846203
"Greece",2018,81.4954,32.9,29792.0592519585,10.3019971689295
"Grenada",2018,74.9569,43.8,15974.8591933124,9.67877146501674
"Guinea",2018,59.0434,29.6,2844.46427670549,7.9531300253864
"Guinea-Bissau",2018,61.6516,34.8,2057.96969129146,7.62947518902192
"Honduras",2018,72.0005,48.9,5633.3832384519,8.6364654711006
"Hungary",2018,76.2049,29.6,31908.863454349,10.3706391014129
"India",2018,70.4152,34.5,6714.96639877754,8.81209410503976
"Indonesia",2018,70.0797,36.3,11372.0971987612,9.33891801993461
"Ireland",2018,82.1232,30.6,86843.7709423016,11.3718660470741
"Israel",2018,82.9184,38.6,40067.2235719904,10.5983139117859
"Italy",2018,83.1844,35.2,43190.5958275406,10.6733780613572
"Jamaica",2018,71.6062,35.6,10035.2797738175,9.21386214064424
"Kazakhstan",2018,73.3693,27.8,25096.1285862615,10.1304688736326
"Latvia",2018,74.9793,35.1,29817.8047263182,10.3028609681145
"Lithuania",2018,75.9091,35.7,36721.9325501206,10.5111294727101
"Luxembourg",2018,81.5187,35.4,116498.512080919,11.6656337800687
"Malaysia",2018,75.7341,41.2,27793.5674222948,10.2325598852172
"Mali",2018,58.8728,36,2249.86222959248,7.71862426203152
"Malta",2018,82.9083,28.7,48106.140435729,10.7811651077325
"Mexico",2018,74.3009,46,20921.4775277572,9.94853154320671
"Mongolia",2018,70.5743,32.7,12317.4824277695,9.4187748678102
"Montenegro",2018,76.9215,36.8,21513.3501337808,9.9764289578694
"Netherlands",2018,81.7813,28.1,58819.2609142582,10.9822246468175
"Niger",2018,59.7646,37.3,1275.99643935327,7.15148267342535
"Nigeria",2018,52.669,35.1,5083.17233102207,8.53369082028004
"North Macedonia",2018,76.8835,33,18460.5156634388,9.82338944176414
"Norway",2018,82.7599,27.6,70253.8463693386,11.1598703382856
"Pakistan",2018,66.4807,29.6,4979.3734961655,8.51305935812188
"Panama",2018,78.2656,49.2,32463.540359127,10.387872903486
"Paraguay",2018,73.6271,46,14139.0931267561,9.5566988020866
"Peru",2018,76.018,42.4,13078.2323503405,9.47870447446749
"Philippines",2018,69.7615,42.3,8357.74357925067,9.03094376285916
"Poland",2018,77.6232,30.2,32345.1066076225,10.3842180244264
"Portugal",2018,81.5915,33.5,34896.7993382975,10.4601503944806
"Romania",2018,75.1033,35.8,29586.6168739175,10.2950774054314
"Senegal",2018,67.3792,38.3,3380.21596529445,8.12569488149339
"Serbia",2018,76.0356,35,18469.0631340461,9.82385234824931
"Seychelles",2018,72.1756,32.1,32091.2988657346,10.376340209001
"Sierra Leone",2018,59.0587,35.7,2640.47566787646,7.87871435713633
"Slovenia",2018,80.861,24.6,38620.2045436305,10.5615308522821
"Spain",2018,83.0956,34.7,41001.3588703988,10.6213604883177
"Sweden",2018,82.5321,30,53122.438677218,10.8803546919297
"Switzerland",2018,83.5639,33.1,70688.8187491194,11.1660426887286
"TÃ¼rkiye",2018,77.4535,42.4,28299.395541248,10.2505957244367
"Thailand",2018,77.1903,36.4,18876.2208766741,9.84565825423332
"Togo",2018,60.6006,42.5,2067.09131262388,7.63389773510848
"Ukraine",2018,73.5691,26.1,12554.8486328125,9.43786221519185
"United Arab Emirates",2018,82.4493,26.4,75071.1800501443,11.226192009774
"United Kingdom",2018,81.1229,33.7,47090.4848967293,10.7598262404182
"Uruguay",2018,77.5273,39.7,24386.4944489963,10.1017847518515
"Viet Nam",2018,74.1004,35.7,10009.9714756006,9.21133702271485
