"Country","Year","Sustainability","Gini","GDP"
"Albania",2005,3,30.6,5865.30563672047
"Angola",2008,3,42.7,6651.37774105467
"Armenia",2013,3,30.6,9454.87852836556
"Azerbaijan",2005,3,26.6,6741.20096471132
"Bangladesh",2022,3,33.4,8450.54902533944
"Benin",2021,3.5,34.4,3464.2886286745
"Bhutan",2022,4,28.5,15063.8105697833
"Bolivia",2015,3.5,46.7,7152.04465008671
"Bosnia and Herzegovina",2011,3.5,33,9761.51519578686
"Burkina Faso",2021,4,37.4,2486.43093147762
"Burundi",2020,3.5,37.5,786.515830674648
"Cabo Verde",2015,3,42.4,6773.48679969386
"Cameroon",2021,3.5,42.2,4793.55628200196
"Central African Republic",2021,2.5,43,1128.55237996459
"Chad",2022,2.5,37.4,1808.83862023181
"Comoros",2014,3,45.3,2937.61192894982
"Congo",2011,3,48.9,5175.20439089036
"Dem. Rep. Congo",2020,3.5,44.7,1136.00839556367
"Djibouti",2017,2.5,41.6,4676.71336058903
"Ethiopia",2015,4,35,1632.61818006837
"Georgia",2013,3,38.6,10797.3423273476
"Ghana",2016,4,43.5,5011.07931572904
"Grenada",2018,4,43.8,15974.8591933124
"Guinea",2018,3.5,29.6,2844.46427670549
"Guinea-Bissau",2021,2.5,33.4,2450.97796398284
"Haiti",2012,2.5,41.1,2830.19080559709
"Honduras",2019,3.5,48.2,5784.93081057111
"India",2011,3.5,35.4,4454.70153200513
"Indonesia",2006,3,31.5,6583.35112342719
"Kenya",2021,4,38.7,5338.85243382781
"Kiribati",2019,3,27.8,2762.93711943669
"Kosovo",2017,3,29,9380.94007290057
"Kyrgyz Republic",2022,3,26.4,6577.51264877534
"Lao PDR",2018,3.5,38.8,7486.86452700433
"Lesotho",2017,3.5,44.9,2618.81820770145
"Liberia",2016,3,35.3,1490.33581410026
"Madagascar",2012,3,42.6,1463.61756926447
"Malawi",2019,3.5,38.5,1450.01008064784
"Maldives",2019,4,29.3,23077.2112236652
"Mali",2021,3,35.7,2347.62752913969
"Marshall Islands",2019,3,35.5,6045.06240778328
"Mauritania",2019,3,32,5610.13236713892
"Micronesia",2013,3,40.1,3206.36152298855
"Moldova",2019,4,26,13413.2232935126
"Mongolia",2018,3.5,32.7,12317.4824277695
"Mozambique",2019,3.5,50.3,1388.79707034446
"Myanmar",2017,2.5,30.7,4706.43248949598
"Nepal",2022,3.5,30,5102.99231141994
"Nicaragua",2014,3.5,46.2,5067.74436245156
"Niger",2021,3,32.9,1585.59922021188
"Nigeria",2018,3.5,35.1,5083.17233102207
"Pakistan",2018,3,29.6,4979.3734961655
"Papua New Guinea",2009,2,41.9,2692.43509263219
"Rwanda",2016,4,43.7,1866.38968530286
"Samoa",2013,4,38.7,5386.90063067716
"Senegal",2021,3.5,36.2,4173.67741399619
"Sierra Leone",2018,3,35.7,2640.47566787646
"Solomon Islands",2012,2.5,37.1,2320.44909024681
"Sri Lanka",2019,3.5,37.7,14112.9525046152
"St. Lucia",2015,3.5,43.7,14353.1342589508
"Sudan",2014,2,34.2,4260.57177734375
"Tajikistan",2015,3,34,2975.47097476092
"Tanzania",2018,3,40.5,2727.88012695313
"The Gambia",2020,3.5,38.8,2530.80414937307
"Timor-Leste",2014,2,28.7,2859.86061637696
"Togo",2021,4,37.9,2577.20196322069
"Tonga",2021,3,27.1,7034.92483755247
"Uganda",2019,3.5,42.7,2441.37445233821
"Uzbekistan",2022,3.5,31.2,10292.5309427516
"Vanuatu",2019,3.5,32.3,3314.66721346101
"Viet Nam",2014,4,34.8,7296.8794808738
"Yemen",2005,3,34.7,3113.41739664262
"Zambia",2022,3.5,51.5,3840.72450511141
"Zimbabwe",2019,4,50.3,3211.47191261594
